# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.696390364122e-02       3.006717631614e+03 
       3.713611331400e-02       2.993093445218e+03 
       3.730951613305e-02       2.979472277971e+03 
       3.748415223790e-02       2.965864874140e+03 
       3.766006355916e-02       2.952253702070e+03 
       3.783729392360e-02       2.938660256199e+03 
       3.801588916695e-02       2.925061931248e+03 
       3.819589725515e-02       2.911463565446e+03 
       3.837736841482e-02       2.897899732378e+03 
       3.856035527375e-02       2.884320677068e+03 
       3.874491301246e-02       2.870746603291e+03 
       3.893109952773e-02       2.857181123745e+03 
       3.911897560932e-02       2.843614376181e+03 
       3.930860513123e-02       2.830058920513e+03 
       3.950005525877e-02       2.816502821247e+03 
       3.969339667327e-02       2.802945123382e+03 
       3.988870381591e-02       2.789390557758e+03 
       4.008605515304e-02       2.775831628832e+03 
       4.028553346491e-02       2.762270464778e+03 
       4.048722616051e-02       2.748715875158e+03 
       4.069122562140e-02       2.735157993251e+03 
       4.089762957753e-02       2.721584361529e+03 
       4.110654151897e-02       2.708015817062e+03 
       4.131807114740e-02       2.694432561550e+03 
       4.153233487216e-02       2.680841828183e+03 
       4.174945635618e-02       2.667242440037e+03 
       4.196956711777e-02       2.653631876108e+03 
       4.219280719523e-02       2.639995743439e+03 
       4.241932588217e-02       2.626357237932e+03 
       4.264928254266e-02       2.612701374564e+03 
       4.288284751670e-02       2.599018086592e+03 
       4.312020312800e-02       2.585314123982e+03 
       4.336154480817e-02       2.571586615781e+03 
       4.360708235341e-02       2.557822799149e+03 
       4.385704133272e-02       2.544043468792e+03 
       4.411166466950e-02       2.530218835860e+03 
       4.437121442248e-02       2.516363186920e+03 
       4.463597379617e-02       2.502460051577e+03 
       4.490624941661e-02       2.488508928423e+03 
       4.518237391452e-02       2.474519104124e+03 
       4.546470886602e-02       2.460476506814e+03 
       4.575364815048e-02       2.446360208645e+03 
       4.604962179678e-02       2.432193700438e+03 
       4.635310040348e-02       2.417943960789e+03 
       4.666460023582e-02       2.403630432215e+03 
       4.698468912418e-02       2.389222882968e+03 
       4.731399331514e-02       2.374736866551e+03 
       4.765320545965e-02       2.360143838429e+03 
       4.800309396416e-02       2.345441041353e+03 
       4.836451398262e-02       2.330618898354e+03 
       4.873842039279e-02       2.315666290385e+03 
       4.912588318267e-02       2.300571096499e+03 
       4.952810577815e-02       2.285311777526e+03 
       4.994644697591e-02       2.269884899601e+03 
       5.038244731550e-02       2.254254327439e+03 
       5.083786094101e-02       2.238422084221e+03 
       5.131469427834e-02       2.222344511071e+03 
       5.181525320399e-02       2.205997777758e+03 
       5.234220082169e-02       2.189343975744e+03 
       5.289862851019e-02       2.172346131525e+03 
       5.348814356721e-02       2.154957632142e+03 
       5.411497753953e-02       2.137106291252e+03 
       5.478412013664e-02       2.118737949557e+03 
       5.550148430854e-02       2.099743861358e+03 
       5.627410824320e-02       2.080024337268e+03 
       5.711039889327e-02       2.059419452350e+03 
       5.802041754952e-02       2.037731048192e+03 
       5.901619785973e-02       2.014721588530e+03 
       6.011206507084e-02       1.990041553726e+03 
       6.132488337632e-02       1.963254142619e+03 
       6.267408469701e-02       1.933732615528e+03 
       6.418122002103e-02       1.900739737976e+03 
       6.586864445081e-02       1.863217626633e+03 
       6.775689885323e-02       1.819968352539e+03 
       6.986061636220e-02       1.769677216165e+03 
       7.218363809309e-02       1.711216523545e+03 
       7.471532286577e-02       1.643990580235e+03 
