# Matter power spectrum P(k) at redshift z=3.2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.181525320399e-02       1.146981651827e+03 
       5.234220082169e-02       1.138322728071e+03 
       5.289862851019e-02       1.129484914796e+03 
       5.348814356721e-02       1.120443933819e+03 
       5.411497753953e-02       1.111164193803e+03 
       5.478412013664e-02       1.101612716981e+03 
       5.550148430854e-02       1.091737954553e+03 
       5.627410824320e-02       1.081484315498e+03 
       5.711039889327e-02       1.070770042296e+03 
       5.802041754952e-02       1.059495110047e+03 
       5.901619785973e-02       1.047530723384e+03 
       6.011206507084e-02       1.034699847384e+03 
       6.132488337632e-02       1.020771297260e+03 
       6.267408469701e-02       1.005429534259e+03 
       6.418122002103e-02       9.882669674288e+02 
       6.586864445081e-02       9.687574344959e+02 
       6.775689885323e-02       9.462713383628e+02 
       6.986061636220e-02       9.201242598768e+02 
       7.218363809309e-02       8.897262363076e+02 
       7.471532286577e-02       8.547790879738e+02 
       7.743061359448e-02       8.155116300694e+02 
       8.029481089186e-02       7.727863070279e+02 
       8.327090758802e-02       7.280238379228e+02 
       8.632586216219e-02       6.829554288894e+02 
       8.943371231427e-02       6.393261254678e+02 
       9.257581503174e-02       5.986379520760e+02 
       9.573957740130e-02       5.619936176561e+02 
       9.891682772534e-02       5.300358015749e+02 
       1.021023973755e-01       5.029553747414e+02 
       1.052930691554e-01       4.805514473277e+02 
       1.084868602137e-01       4.623135043229e+02 
       1.116825557654e-01       4.475055385725e+02 
       1.148794142178e-01       4.352558417178e+02 
       1.180769837523e-01       4.246416027283e+02 
       1.212749893616e-01       4.147712402955e+02 
       1.244732636930e-01       4.048586385914e+02 
       1.276717048613e-01       3.942924194833e+02 
       1.308702507698e-01       3.826776731976e+02 
       1.340688634988e-01       3.698572499695e+02 
       1.372675198226e-01       3.559012641918e+02 
       1.404662054497e-01       3.410687979652e+02 
       1.436649115263e-01       3.257520262044e+02 
       1.468636325124e-01       3.104099936813e+02 
       1.500623648926e-01       2.955062046470e+02 
       1.532611063917e-01       2.814513047595e+02 
       1.564598554981e-01       2.685762575487e+02 
       1.596586111737e-01       2.570926588882e+02 
       1.628573726770e-01       2.470920849606e+02 
       1.660561394544e-01       2.385567702279e+02 
       1.692549110741e-01       2.313687499938e+02 
       1.724536871851e-01       2.253322948653e+02 
       1.756524674918e-01       2.201949303294e+02 
       1.788512517378e-01       2.156844108837e+02 
       1.820500396958e-01       2.115285010824e+02 
       1.852488311610e-01       2.075073674559e+02 
       1.884476259469e-01       2.033522644705e+02 
       1.916464238816e-01       1.988986919828e+02 
       1.948452248065e-01       1.940496603596e+02 
       1.980440285741e-01       1.887863451917e+02 
       2.012428350467e-01       1.831574527448e+02 
       2.044416440959e-01       1.772727197452e+02 
       2.076404556014e-01       1.712710045106e+02 
       2.108392694504e-01       1.653016083772e+02 
       2.140380855368e-01       1.595088615157e+02 
       2.172369037610e-01       1.540088069248e+02 
       2.204357240293e-01       1.488928303311e+02 
       2.236345462532e-01       1.442195028579e+02 
       2.268333703495e-01       1.400150161798e+02 
       2.300321962395e-01       1.362808953824e+02 
       2.332310238489e-01       1.329805435837e+02 
       2.364298531074e-01       1.300648474534e+02 
       2.396286839485e-01       1.274575952101e+02 
       2.428275163094e-01       1.250695793750e+02 
