# Matter power spectrum P(k) at redshift z=2.4
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.295654101666e-02       2.631699218026e+03 
       3.310823996743e-02       2.620884296911e+03 
       3.326050818198e-02       2.610084200000e+03 
       3.341336127357e-02       2.599274711305e+03 
       3.356681538599e-02       2.588468670444e+03 
       3.372088721650e-02       2.577656673011e+03 
       3.387559404007e-02       2.566856067915e+03 
       3.403095373488e-02       2.556050208675e+03 
       3.418698480928e-02       2.545249245742e+03 
       3.434370643024e-02       2.534461310133e+03 
       3.450113845343e-02       2.523666645849e+03 
       3.465930145501e-02       2.512884694597e+03 
       3.481821676531e-02       2.502093645097e+03 
       3.497790650440e-02       2.491312941898e+03 
       3.513839361987e-02       2.480540051801e+03 
       3.529970192680e-02       2.469774337157e+03 
       3.546185615025e-02       2.459008544504e+03 
       3.562488197025e-02       2.448251393587e+03 
       3.578880606969e-02       2.437492949648e+03 
       3.595365618517e-02       2.426740143440e+03 
       3.611946116117e-02       2.415998967156e+03 
       3.628625100759e-02       2.405258402889e+03 
       3.645405696120e-02       2.394535083315e+03 
       3.662291155106e-02       2.383805292611e+03 
       3.679284866841e-02       2.373087343569e+03 
       3.696390364122e-02       2.362373557682e+03 
       3.713611331400e-02       2.351671009526e+03 
       3.730951613305e-02       2.340968882696e+03 
       3.748415223790e-02       2.330277785676e+03 
       3.766006355916e-02       2.319581749966e+03 
       3.783729392360e-02       2.308901287355e+03 
       3.801588916695e-02       2.298218760361e+03 
       3.819589725515e-02       2.287541221433e+03 
       3.837736841482e-02       2.276876160845e+03 
       3.856035527375e-02       2.266208521841e+03 
       3.874491301246e-02       2.255541319977e+03 
       3.893109952773e-02       2.244882938314e+03 
       3.911897560932e-02       2.234223531590e+03 
       3.930860513123e-02       2.223575088970e+03 
       3.950005525877e-02       2.212921539063e+03 
       3.969339667327e-02       2.202270405990e+03 
       3.988870381591e-02       2.191622080151e+03 
       4.008605515304e-02       2.180968820124e+03 
       4.028553346491e-02       2.170314024739e+03 
       4.048722616051e-02       2.159661863910e+03 
       4.069122562140e-02       2.149011547923e+03 
       4.089762957753e-02       2.138345297618e+03 
       4.110654151897e-02       2.127685980749e+03 
       4.131807114740e-02       2.117013787893e+03 
       4.153233487216e-02       2.106335548591e+03 
       4.174945635618e-02       2.095648482406e+03 
       4.196956711777e-02       2.084956431628e+03 
       4.219280719523e-02       2.074248747709e+03 
       4.241932588217e-02       2.063526952882e+03 
       4.264928254266e-02       2.052797576868e+03 
       4.288284751670e-02       2.042046474927e+03 
       4.312020312800e-02       2.031277887437e+03 
       4.336154480817e-02       2.020493367164e+03 
       4.360708235341e-02       2.009685941566e+03 
       4.385704133272e-02       1.998852973254e+03 
       4.411166466950e-02       1.987991704893e+03 
       4.437121442248e-02       1.977103084391e+03 
       4.463597379617e-02       1.966180661359e+03 
       4.490624941661e-02       1.955222409329e+03 
       4.518237391452e-02       1.944227417853e+03 
       4.546470886602e-02       1.933192857659e+03 
       4.575364815048e-02       1.922104156775e+03 
       4.604962179678e-02       1.910971548289e+03 
       4.635310040348e-02       1.899779289252e+03 
       4.666460023582e-02       1.888531324822e+03 
       4.698468912418e-02       1.877211446508e+03 
       4.731399331514e-02       1.865828575458e+03 
       4.765320545965e-02       1.854360606130e+03 
       4.800309396416e-02       1.842810592139e+03 
       4.836451398262e-02       1.831163042186e+03 
       4.873842039279e-02       1.819416651475e+03 
       4.912588318267e-02       1.807554520765e+03 
       4.952810577815e-02       1.795569599479e+03 
       4.994644697591e-02       1.783444834765e+03 
       5.038244731550e-02       1.771168126782e+03 
       5.083786094101e-02       1.758724409317e+03 
       5.131469427834e-02       1.746094242069e+03 
       5.181525320399e-02       1.733248457355e+03 
       5.234220082169e-02       1.720163651835e+03 
       5.289862851019e-02       1.706808523842e+03 
       5.348814356721e-02       1.693146305094e+03 
       5.411497753953e-02       1.679122474221e+03 
       5.478412013664e-02       1.664689144131e+03 
       5.550148430854e-02       1.649767083690e+03 
       5.627410824320e-02       1.634272299712e+03 
       5.711039889327e-02       1.618082143062e+03 
       5.802041754952e-02       1.601043670849e+03 
       5.901619785973e-02       1.582963871449e+03 
       6.011206507084e-02       1.563573531386e+03 
       6.132488337632e-02       1.542526293030e+03 
       6.267408469701e-02       1.519343206537e+03 
       6.418122002103e-02       1.493408162911e+03 
       6.586864445081e-02       1.463926962680e+03 
       6.775689885323e-02       1.429947238027e+03 
       6.986061636220e-02       1.390434155569e+03 
       7.218363809309e-02       1.344499845952e+03 
       7.471532286577e-02       1.291689255639e+03 
       7.743061359448e-02       1.232350909975e+03 
       8.029481089186e-02       1.167786716676e+03 
       8.327090758802e-02       1.100144501822e+03 
       8.632586216219e-02       1.032040311673e+03 
       8.943371231427e-02       9.661095423925e+02 
       9.257581503174e-02       9.046247328673e+02 
       9.573957740130e-02       8.492501000152e+02 
       9.891682772534e-02       8.009574029610e+02 
       1.021023973755e-01       7.600350915694e+02 
       1.052930691554e-01       7.261791442887e+02 
       1.084868602137e-01       6.986192185049e+02 
       1.116825557654e-01       6.762424132524e+02 
       1.148794142178e-01       6.577311636035e+02 
       1.180769837523e-01       6.416922145913e+02 
       1.212749893616e-01       6.267761476009e+02 
       1.244732636930e-01       6.117964866769e+02 
       1.276717048613e-01       5.958303011540e+02 
       1.308702507698e-01       5.782790634244e+02 
       1.340688634988e-01       5.589051481170e+02 
       1.372675198226e-01       5.378159495606e+02 
       1.404662054497e-01       5.154019995574e+02 
       1.436649115263e-01       4.922563915355e+02 
       1.468636325124e-01       4.690719560897e+02 
       1.500623648926e-01       4.465506105917e+02 
       1.532611063917e-01       4.253113659976e+02 
       1.564598554981e-01       4.058558159135e+02 
       1.596586111737e-01       3.885023166594e+02 
       1.628573726770e-01       3.733901351590e+02 
       1.660561394544e-01       3.604901870922e+02 
       1.692549110741e-01       3.496299191106e+02 
       1.724536871851e-01       3.405080819173e+02 
       1.756524674918e-01       3.327446873239e+02 
       1.788512517378e-01       3.259288616078e+02 
       1.820500396958e-01       3.196485545539e+02 
       1.852488311610e-01       3.135721977759e+02 
       1.884476259469e-01       3.072933268304e+02 
       1.916464238816e-01       3.005633982705e+02 
       1.948452248065e-01       2.932359617082e+02 
